reference_id	biological_species	role	legacy_relative_path	data_relative_path	expected_sha256	status	notes
clem_scandens_legacy	Clematoclethra scandens	genome	genome/Clematoclethra_scandens.fa	legacy_linked/clem_scandens_reference_legacy/genome.fasta	9a47d694136096fd7c96933ef740c88d5b299d2f38695c582311aa3bd553d0de	legacy_reference_pending_public_accession	Twenty-four chromosome sequences used by the manuscript-era loss analysis.
clem_scandens_legacy	Clematoclethra scandens	gff	gff_file/Clematoclethra_scandens.gff3	legacy_linked/clem_scandens_reference_legacy/annotation.gff3	aa29d6af60f00e79bf288fb3af1804c82e4c9be77a8d0dcd7fcb95e437a2fe10	legacy_reference_pending_public_accession	Matched gene models used to define the reference-gene universe.
clem_scandens_legacy	Clematoclethra scandens	protein	new_protein_coord_output/proteins/Clematoclethra_scandens_proteins.faa	legacy_linked/clem_scandens_reference_legacy/protein.faa	4adc884c174f7ed710bce03d2167241ec681bb6a50f8e88b60adbd81288155df	legacy_reference_pending_public_accession	The three historical protein copies were byte-identical; this row selects the unreduced source copy.
clem_scandens_legacy	Clematoclethra scandens	cds	new_protein_coord_output/cds_nt/Clematoclethra_scandens_cds_nt.fa	legacy_linked/clem_scandens_reference_legacy/cds.fasta	55ffd37083f807926ee08b3595194ba10a0af341121cb16a15c9fb66347287ea	legacy_reference_pending_public_accession	Matched CDS records for the protein set.
clem_scandens_legacy	Clematoclethra scandens	bed	new_protein_coord_output/coords/Clematoclethra_scandens.bed	legacy_linked/clem_scandens_reference_legacy/genes.bed	c43f8bd583ab99da94f1aafaf1caf3d3aa8665ae09096d98c75d91ec5477f063	legacy_reference_pending_public_accession	The BED contains 35558 unique gene-model rows; eleven lack translated protein records and are declared separately.
clem_scandens_legacy	Clematoclethra scandens	coords	new_protein_coord_output/coords/Clematoclethra_scandens.coords	legacy_linked/clem_scandens_reference_legacy/genes.coords	c5a1ad6b33917bab35a27175a9ad50d66a6ab104de3ad5a26800254fd1b90fb3	legacy_reference_pending_public_accession	Reference coordinates used by the SynOrths and loss-candidate workflow.
