genome_seqid	gff_seqid	canonical_seqid
Lco1464_v1.0_h2tg000059l		Lco1464_v1.0_h2tg000059l
Lco1464_v1.0_h2tg000060l	Lco1464_v1.0_h2tg000060l	Lco1464_v1.0_h2tg000060l
Lco1464_v1.0_h2tg000061l	Lco1464_v1.0_h2tg000061l	Lco1464_v1.0_h2tg000061l
Lco1464_v1.0_h2tg000062l		Lco1464_v1.0_h2tg000062l
Lco1464_v1.0_h2tg000063l	Lco1464_v1.0_h2tg000063l	Lco1464_v1.0_h2tg000063l
Lco1464_v1.0_h2tg000064l		Lco1464_v1.0_h2tg000064l
Lco1464_v1.0_h2tg000065l	Lco1464_v1.0_h2tg000065l	Lco1464_v1.0_h2tg000065l
Lco1464_v1.0_h2tg000066l		Lco1464_v1.0_h2tg000066l
Lco1464_v1.0_h2tg000067l		Lco1464_v1.0_h2tg000067l
Lco1464_v1.0_h2tg000068l	Lco1464_v1.0_h2tg000068l	Lco1464_v1.0_h2tg000068l
Lco1464_v1.0_h2tg000069l	Lco1464_v1.0_h2tg000069l	Lco1464_v1.0_h2tg000069l
Lco1464_v1.0_h2tg000070l		Lco1464_v1.0_h2tg000070l
Lco1464_v1.0_h2tg000071l	Lco1464_v1.0_h2tg000071l	Lco1464_v1.0_h2tg000071l
Lco1464_v1.0_h2tg000072l	Lco1464_v1.0_h2tg000072l	Lco1464_v1.0_h2tg000072l
Lco1464_v1.0_h2tg000073l		Lco1464_v1.0_h2tg000073l
Lco1464_v1.0_h2tg000074l		Lco1464_v1.0_h2tg000074l
Lco1464_v1.0_h2tg000075l	Lco1464_v1.0_h2tg000075l	Lco1464_v1.0_h2tg000075l
Lco1464_v1.0_h2tg000076l		Lco1464_v1.0_h2tg000076l
Lco1464_v1.0_h2tg000077l		Lco1464_v1.0_h2tg000077l
