terminal_id	protein_path	cds_path	use_for_orthofinder	use_for_codon_tree	role	note
coffea_arabica_E	standardized/phylogeny_primary_reextract/coffea_arabica_E/coffea_arabica_E.protein.faa	standardized/phylogeny_primary_reextract/coffea_arabica_E/coffea_arabica_E.cds.fa	true	true	primary_minimal_outgroup	Use the E annotation only: 22,195 longest valid spliced-CDS isoforms pass gffread and 58 invalid coding genes are audited and omitted.
vitis_vinifera	raw/phylogeny_outgroups/legacy_linked_pending_provenance/Vitis_vinifera/primary_proteins.faa	raw/phylogeny_outgroups/legacy_linked_pending_provenance/Vitis_vinifera/cds.fna	true	true	primary_minimal_outgroup	Legacy longest-mRNA protein/CDS pair is exact; strict re-extraction is blocked by duplicate Source attributes in the legacy GFF3.
rhodo_simsii	standardized/rhododendron_simsii_wjxa_legacy_chromosome_scope/primary_annotation_strict/rhododendron_simsii_wjxa.protein.faa	standardized/rhododendron_simsii_wjxa_legacy_chromosome_scope/primary_annotation_strict/rhododendron_simsii_wjxa.cds.fa	true	true	primary_minimal_outgroup	30,419 longest valid spliced-CDS isoforms pass the chromosome-scope gffread gate.
rhodo_delavayi	raw/phylogeny_outgroups/legacy_linked_pending_provenance/Rhododendron_delavayi/primary_proteins.faa	raw/phylogeny_outgroups/legacy_linked_pending_provenance/Rhododendron_delavayi/cds.fna	true	true	legacy_reproduction_only	Retained only for the submitted-tree reproduction and representative sensitivity.
rhodo_vialii_A	raw/phylogeny_outgroups/legacy_linked_pending_provenance/Rhododendron_vialii/primary_proteins.faa	raw/phylogeny_outgroups/legacy_linked_pending_provenance/Rhododendron_vialii/cds.fna	true	true	legacy_reproduction_only	Legacy files contain the A subgenome only; retain the upright A suffix.
