taxon_id	run_accession	experiment_accession	bioproject	biosample	instrument	layout	spots	bases	library_strategy	library_source	source_url	status	planned_use
saurauia_tristyla	SRR11994221	SRX8528013	PRJNA636634	SAMN15161039	Illumina HiSeq 3000	paired	21000694	6300208200	RNA-Seq	TRANSCRIPTOMIC	https://www.ncbi.nlm.nih.gov/sra/SRX8528013	prohibited_not_downloaded_minimal_outgroup_policy	Registry evidence only. Do not acquire or use this run in the revised nuclear matrix under the approved minimal-outgroup policy.
saurauia_tristyla	SRR28027655	SRX23679120	PRJNA1076884	SAMN39954865	Illumina HiSeq X	paired	24299690	7289907000	RNA-Seq	TRANSCRIPTOMIC	https://www.ncbi.nlm.nih.gov/sra/SRX23679120	prohibited_not_downloaded_minimal_outgroup_policy	Registry evidence only. Do not acquire or use this run in the revised nuclear matrix under the approved minimal-outgroup policy.
